time,open,high,low,close,Volume
2019-06-25T18:00:00+02:00,6.52287501,6.57592353,6.48879083,6.53888677,NaN
2019-06-26T02:00:00+02:00,6.53888677,6.6888449,6.53888677,6.68173459,NaN
2019-06-26T10:00:00+02:00,6.68173459,6.81977879,6.66922725,6.78882821,NaN
2019-06-26T18:00:00+02:00,6.78882821,6.78892267,6.27689924,6.40090716,NaN
2019-06-27T02:00:00+02:00,6.40090716,6.40090716,5.85179518,5.85179518,NaN
2019-06-27T10:00:00+02:00,5.85179518,5.96082692,5.64460459,5.89175755,NaN
2019-06-27T18:00:00+02:00,5.89175755,5.89175755,5.35538434,5.58595567,NaN
2019-06-28T02:00:00+02:00,5.58595567,5.59247367,5.42118437,5.54294212,NaN
2019-06-28T10:00:00+02:00,5.54294212,5.8621423,5.50362837,5.8005759,NaN
2019-06-28T18:00:00+02:00,5.8005759,5.95110845,5.79654654,5.95110845,NaN
2019-06-29T02:00:00+02:00,5.95110845,5.95110845,5.63520336,5.80944239,NaN
2019-06-29T10:00:00+02:00,5.80944239,6.04979046,5.80944239,5.98056718,NaN
2019-06-29T18:00:00+02:00,5.98056718,6.15043037,5.98056718,6.04512696,NaN
2019-06-30T02:00:00+02:00,6.04512696,6.08243132,5.8462018,5.8462018,NaN
2019-06-30T10:00:00+02:00,5.8462018,5.8835672,5.58355245,5.62877462,NaN
2019-06-30T18:00:00+02:00,5.62877462,5.73963521,5.52143981,5.53698793,NaN
2019-07-01T02:00:00+02:00,5.53698793,5.68314956,5.45567906,5.57798244,NaN
2019-07-01T10:00:00+02:00,5.57798244,5.63872303,5.22746097,5.22746097,NaN
2019-07-01T18:00:00+02:00,5.22746097,5.46030586,5.18869662,5.46030586,NaN
2019-07-02T02:00:00+02:00,5.46030586,5.60104002,5.22525024,5.24387661,NaN
2019-07-02T10:00:00+02:00,5.24387661,5.37283033,5.18352531,5.35555626,NaN
2019-07-02T18:00:00+02:00,5.35555626,5.41840546,5.30971229,5.35797253,NaN
2019-07-03T02:00:00+02:00,5.35797253,5.50182119,5.3390391,5.46745407,NaN
2019-07-03T10:00:00+02:00,5.46745407,5.48109276,5.35235913,5.38049275,NaN
2019-07-03T18:00:00+02:00,5.38049275,5.62936554,5.38049275,5.62936554,NaN
2019-07-04T02:00:00+02:00,5.62936554,5.62936554,5.53835398,5.54403749,NaN
2019-07-04T10:00:00+02:00,5.54403749,5.7465367,5.54039608,5.63967179,NaN
2019-07-04T18:00:00+02:00,5.63967179,5.73669554,5.52831702,5.52831702,NaN
2019-07-05T02:00:00+02:00,5.52831702,5.52831702,5.42923756,5.43368647,NaN
2019-07-05T10:00:00+02:00,5.43368647,5.48466798,5.37865147,5.397732,NaN
2019-07-05T18:00:00+02:00,5.397732,5.4292456,5.36401584,5.37301939,NaN
2019-07-06T02:00:00+02:00,5.37301939,5.48566648,5.36408871,5.40929619,NaN
2019-07-06T10:00:00+02:00,5.40929619,5.41736122,5.27731311,5.39678295,NaN
2019-07-06T18:00:00+02:00,5.39678295,5.41710825,5.3003971,5.3003971,NaN
2019-07-07T02:00:00+02:00,5.3003971,5.30755678,5.26484661,5.26484661,NaN
2019-07-07T10:00:00+02:00,5.26484661,5.2867596,5.21353151,5.2867596,NaN
2019-07-07T18:00:00+02:00,5.2867596,5.43321744,5.28274061,5.40636176,NaN
2019-07-08T02:00:00+02:00,5.40636176,5.41669183,5.31997596,5.35585282,NaN
2019-07-08T10:00:00+02:00,5.35585282,5.42117856,5.28636489,5.32425974,NaN
2019-07-08T18:00:00+02:00,5.32425974,5.32425974,5.14290749,5.19514936,NaN
2019-07-09T02:00:00+02:00,5.19514936,5.20397384,5.0953994,5.14264153,NaN
2019-07-09T10:00:00+02:00,5.14264153,5.14895078,4.96272083,4.99062795,NaN
